particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts
5776,253,0.088875186313632,0.0012314870377882184,0.03907979543337031,0.8133760531724704,30
4860,251,0.1716076715936808,0.0033811534120058357,0.16025352339691978,0.9423985665099583,30
5937,250,0.0037864413484366877,7.557618048094716e-05,0.018603673514652502,0.4347059114033214,30
3492,248,0.5542272876772812,0.005210890920219172,-0.15605825324511613,1.074128504415458,30
1636,246,0.19763957917594466,0.0055340246780664435,0.18934161460696247,0.9201885978590437,30
1960,246,0.08948359085117331,0.0014446819883202307,0.12180027192912657,0.7581992698298146,30
634,244,0.16998987324952378,0.00158888485191939,-0.09210025240585563,1.1196588554592795,30
64,244,0.004736763851347423,0.00022410854768937943,0.07596158350931365,0.1850435729811743,30
3554,243,0.5511736531121224,0.011506829673076258,-0.5766777560478445,1.2154377479220544,30
97,242,0.47284339082042187,0.007386288480151608,-0.48593649691149277,1.2432836029700043,30
5944,242,0.04901448249161993,0.0010253235438874668,0.04509693633143502,0.8544773990264354,30
58,241,0.07639936121918596,0.0007002707772481891,-0.001403278558235205,0.9320761621048842,30
3693,237,0.011126207151253167,0.00032254936929096363,0.028902991202108975,0.6285998656774113,30
3759,224,0.008520779556057853,0.0005701369052843996,0.054450480910950325,0.38209121892252873,30
6161,218,0.06638607852242547,0.0009176301437810535,0.06304941869475335,0.8456330910282499,30
6224,214,0.003522082720346471,0.00014292562432634663,0.03753438607450742,0.27104605966142503,30
6168,213,0.0787785154438195,0.0014020112242871298,0.10717571726894666,0.7728193707969792,30
51,213,0.07736210590095136,0.0005238357077935903,0.013879051674885092,0.8959343919977029,30
22,213,0.648365846057515,0.0038398461861750845,-0.11054927383844072,1.0960699200656343,30
5957,212,0.20209450190595288,0.0012805228872095284,0.0072739508863227395,1.046436569464056,30
2295,206,0.22709218411846066,0.003993191182510169,-0.19652977916708667,1.0985515616018247,30
53,205,0.04384536426278077,0.0005658337329158144,0.03349366350330648,0.8802897452351088,30
5514,203,0.0725141546667934,0.0009168745275984841,0.06864314024283659,0.7945961092122064,30
6363,197,0.22690154541985172,0.004385807930180841,0.10357218477107878,1.005783993407205,30
90,196,0.0057826238941705195,0.0001480408174496787,0.018662479255155046,0.49271157711306374,30
6046,190,0.2124518948153119,0.0033574278059344317,0.012918105078596457,1.1265087313862605,30
6285,189,0.042103812711393754,0.0005865803620945843,0.08625319556992905,0.5830533158036294,30
6004,187,0.04625422263484542,0.0007807371172304078,0.01492704739739815,0.8495355850130613,30
3695,186,0.4666662640134759,0.005697769994170388,-0.42181655141904406,1.2632356801322897,30
15,186,0.08787193118334317,0.002625026114129324,0.19951347725804047,0.7407413272766876,30
1325,182,0.4731781217843263,0.005891175224139493,0.03479388941235607,1.0817270428143992,30
1893,181,0.14379298980886893,0.0029980906005144504,-0.12004942782673478,1.0805010135712083,30
1916,180,0.7451477228792551,0.0065008932819898375,-0.41016152519690247,1.1606640927281882,30
2166,179,0.48747772704127534,0.0044367037599183584,-0.10034207169993056,1.0809810803159865,30
5628,176,0.3271017081185285,0.0041388906988737,-0.20149950901281458,1.0905933392442537,30
1738,176,0.28532222169238575,0.0012365666532121,-0.14016307724828597,1.1854779178547292,30
2980,171,0.09479607917698321,0.0008053290164773518,-0.012049782401199334,1.0582707256780257,30
3545,168,0.14048963337605117,0.006211167263753494,0.28670677872356753,0.8485889891407161,30
4063,166,0.24547776496286258,0.0012810748109036184,-0.012190651232339287,0.9768020391183417,30
5841,163,0.5433676603552015,0.005605484813755527,-0.249339892744056,1.0788332282250115,30
3850,161,0.011510466111897632,0.00030905256730188525,0.06273278218929074,0.3641659391907489,30
4431,160,0.1948212720639372,0.0025076912479589514,-0.06195755803882693,1.008990536375775,30
6526,158,0.050038656473582514,0.004830148571099938,0.2766331339406942,0.6153407131439144,30
3294,156,0.8074988448239696,0.010777447170993545,-0.7452107050342917,1.2632960281176224,30
1079,154,0.06552465726222864,0.00571436322476438,0.33109877340754623,0.626623310258588,30
6666,154,0.15556292340465472,0.0028723908977845956,-0.14208327805954377,1.1546491234112874,30
2430,153,0.03411853817076867,0.0016435293883334458,0.12375131100423341,0.5659431682982441,30
5969,152,0.0783890198448906,0.0008936576465254411,0.05554928915301726,0.7716229700366519,30
14,150,0.22184137276064045,0.0017385561179095099,0.07048422021892456,0.9832666259070578,30
4794,145,0.2331679007105973,0.0028810966718229806,0.11066123615760715,0.9363297772832955,30
3289,144,0.02548926285903053,0.000981509285701142,0.14735966246520316,0.4366483432237148,30
4912,144,0.24744710104598064,0.00595009492087834,0.2643193006991146,0.9106661682627122,30
3604,144,0.17517868722157803,0.0021791077133980334,0.1637082536193941,0.8240881726838579,30
3974,143,0.05772552591174306,0.0009231258466309819,0.055323625691236424,0.8108972228259674,30
6264,143,0.30394143894080233,0.004879884377754515,0.1808426260431783,0.9892331234614616,30
57,141,0.014141514256053228,0.0008812997043811324,0.08826613610780701,0.4433762706615721,30
4634,141,0.09851248209555605,0.0025033253307368154,0.13101726486113055,0.8200910924364153,30
6143,140,0.46481709481399697,0.004539256113433711,-0.13001428975117693,1.0443404286662974,30
3,140,0.14285035132506105,0.0028464689876430884,0.2046495772979483,0.8452686487158597,30
29,139,0.9090664629737037,0.014676101834851322,-0.4516999524867154,1.1204568427246306,30
1246,139,0.035252750418049345,0.0010721567023425321,0.09595110901275396,0.6494325378211285,30
4056,133,0.1456634781283087,0.001997157040178156,-0.07466405156277676,1.0589431450009363,30
6832,131,0.31672182332398235,0.0031869586536990187,0.05882160776376311,1.0428836198632498,30
1365,131,0.1919660521582851,0.003487520507200839,0.15051259891042287,0.76093149276959,30
108,131,0.1158373935733639,0.0019496073662226949,0.04335939687977218,1.0299538597551448,30
2667,129,0.028049640181910942,0.0007064529770007107,0.05574166583608367,0.6302392155687588,30
115,128,0.0059417724326909106,0.0001281037749151589,0.015180186073180989,0.567811204386475,30
3947,127,0.0741095814017773,0.003794626515007748,0.23769557011642023,0.6800687468005071,30
450,127,0.033055257132361494,0.00118361872569555,0.06029163654558058,0.6941776672248872,30
1597,123,0.011787124675411148,0.0006623339374248258,0.05035807176123797,0.4947751810417643,30
5817,123,0.21030033907208717,0.0072100131884237,0.3686206251392068,0.8245327281071979,30
6809,123,0.0017534323276520635,0.00019621435347575366,0.030038298970785915,0.22580300565206393,30
378,122,0.027721378304761433,0.002866752086236646,0.27352460897110087,0.3907307839874197,30
6961,121,0.03000463350326772,0.0015020592994483045,0.08763392872070826,0.7331510779648652,30
1740,120,0.040914752350418235,0.0013106891520101244,0.08660366183905421,0.6513242716810482,30
6698,119,0.12772725250571532,0.0017045876471451981,-0.0092385892918613,0.909254472735593,30
165,118,0.0827886481884389,0.0060194168396720165,0.2962637002749557,0.6936271591138145,30
6957,118,0.26892166543365376,0.004343381887265017,0.29194785501868353,0.8581952013850883,30
6390,118,0.45107975453495536,0.004618713678863785,-0.09782693732671319,1.1130691885513262,30
3468,116,0.7944727409845506,0.021780108019092116,-1.1446520927723618,1.3106183934472508,30
4181,115,0.062487455614918294,0.002878194969241594,0.2048780069749462,0.6489576642766655,30
1344,112,0.06923329266447857,0.003075366770400223,0.17210385797613292,0.6114529018004587,30
3528,112,0.4900064147406259,0.007394774971118196,-0.3917850452065689,1.1456171034135323,30
6317,111,0.21466665265029,0.002721343997182319,-0.16586021038042525,1.1426654215554422,30
6456,111,0.07844009412186098,0.00540294130419593,0.301915085909213,0.6829521713285815,30
5709,111,0.18481050247065492,0.0013002423697349868,-0.01948035933088624,1.023317127002238,30
3701,111,0.006002848246048041,0.0003836012238053137,0.04199543679385962,0.3792784034622,30
459,110,0.5116142729730923,0.005630946099510474,0.07882471482184938,1.0325016441041188,30
5242,110,0.09784329201507494,0.002245869132765106,-0.09189390558696807,1.1352847528274903,30
1129,109,0.17856148363091467,0.0021375113613184746,-0.0577397957524293,0.9652713999069759,30
4153,108,0.049058928187281116,0.0006935216365638352,0.055432594074091096,0.6558506171887076,30
