t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved
23.0,34234.0,191.14361572265625,326.2455139160156,280.00634765625,103.00255942678464,238.79907872519107,0.0,23985.0,-0.0038806168828386944,0.41626711712950737,0.0
24.0,35053.0,191.8515625,327.69305419921875,283.272216796875,103.48449773336827,237.50157888613666,0.0,23955.0,-0.2555002628830607,0.34665313096195405,0.0
25.0,35937.0,193.39553833007812,331.2043151855469,293.9706115722656,104.00405843162204,235.98135480611924,0.0,25203.0,-0.40736583944931226,0.2818549686626852,0.0
26.0,36849.0,194.45806884765625,332.6395568847656,296.4690246582031,104.57248723482867,234.38643305447522,0.0,26338.0,-0.3868709769446923,0.21823826675552027,0.0
27.0,37829.0,195.3212890625,333.6741027832031,297.6883850097656,105.05037769696519,232.72386934276227,0.0,27603.0,-0.521793178554276,0.388766202884824,0.0
28.0,39008.0,196.61614990234375,334.6585998535156,295.32525634765625,105.79379696104816,230.59043776872696,0.0,28764.0,-0.41293522825242235,0.3349269984823877,0.0
29.0,40303.0,199.30052185058594,337.9922790527344,300.2025146484375,106.75701001968079,228.32389274509487,0.0,29883.0,-0.20858961996020753,0.3330084450016102,0.0
30.0,41622.0,200.3558349609375,338.9739990234375,299.5101318359375,107.55177150888831,225.8915667015826,0.0,30656.0,-0.11083988651228083,0.14807259221686309,0.0
31.0,42731.0,201.49229431152344,339.9302062988281,297.9598388671875,108.30122491311728,223.97879161155947,0.0,31762.0,0.0833286994206901,0.3288921398500406,0.0
32.0,43942.0,202.46197509765625,340.7853088378906,296.9985656738281,108.99553617278693,221.91484682961647,0.0,32774.0,0.20934398175791102,0.5981074066235124,0.0
33.0,44934.0,203.35658264160156,341.4874572753906,295.4925537109375,109.71626195978585,220.13359562975955,0.0,33545.0,-0.30422540004292387,0.33399616228905415,0.0
34.0,45955.0,203.84156799316406,341.8317565917969,294.44683837890625,110.29710325167682,218.40398347763573,0.0,34129.0,-0.20041336419501476,0.38065328652635344,0.0
35.0,46906.0,204.98313903808594,343.3168029785156,296.9171142578125,110.9576325548453,216.78099514568953,0.0,35593.0,0.03695036423005149,0.35895559176134384,0.0
36.0,47922.0,205.67813110351562,343.7871398925781,295.1750793457031,111.62772579323315,215.35540392510225,0.0,36410.0,0.12143869131409701,0.10782507117818341,0.0
37.0,49083.0,206.9283905029297,344.8851623535156,293.993408203125,112.44495093402476,214.53088284529852,0.0,37186.0,0.04442835169948012,0.08742144615536063,0.0
38.0,50307.0,207.348388671875,345.33526611328125,294.17742919921875,113.22428296137097,214.1676912647801,0.0,38250.0,0.1419384182192971,0.3895508631737812,0.0
39.0,51383.0,207.87139892578125,345.8299865722656,293.93951416015625,113.98882491308808,214.27318827990294,0.0,39438.0,-0.3161275056170325,0.4345683560532052,0.0
40.0,52516.0,208.91574096679688,346.7675476074219,293.1183166503906,114.75424995307104,213.5117090857455,0.0,40392.0,-0.2151547927452384,0.5653921502981802,0.0
41.0,53344.0,209.736083984375,347.1253662109375,290.01129150390625,115.36279556776766,212.89563083329978,0.0,41109.0,-0.48602649511292384,0.45335725115626246,0.0
42.0,54724.0,211.23570251464844,348.8219909667969,291.15875244140625,116.26634666227082,211.6728598336383,0.0,42378.0,-0.20758757329338096,0.8073622676545256,0.0
43.0,55423.0,211.86968994140625,349.40899658203125,290.8037109375,116.69652095256748,211.12105522450344,0.0,43004.0,-0.2568339768839678,0.06640131593343312,0.0
44.0,56199.0,212.73101806640625,349.9127197265625,288.4876708984375,117.16808366168834,210.95828902616998,0.0,42363.0,0.11065774144913121,0.5733201100383098,0.0
