t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved,Rfix_px
117.0,152987.0,281.80316162109375,338.61883544921875,334.7578125,166.99213877811903,247.65500196846418,0.0,153243.0,1.5330217088462632,2.9430146286280774,0.0,340.2649031727658
118.0,153914.0,282.5814514160156,337.34051513671875,334.8433837890625,167.58816382701414,248.65307156574625,0.0,154195.0,1.5624330162357865,2.087202917131208,0.0,340.5107443269157
119.0,155419.0,283.4623718261719,336.1016845703125,335.6513366699219,168.43139151470942,249.90418163696208,0.0,155413.0,1.4716925150856923,2.325586666567176,0.0,341.7699143618554
120.0,156380.0,284.59423828125,338.6698913574219,334.754150390625,168.99049208128423,250.79882376082068,0.0,157272.0,-0.8545701842692779,2.7247688068953835,0.0,341.7699143618554
121.0,158029.0,285.3973083496094,340.19781494140625,334.1002197265625,169.8901895315781,252.24194734421155,0.0,158327.0,1.706411782036298,2.131575570375105,0.0,342.08108449497416
122.0,160119.0,287.0459289550781,338.5240783691406,334.37493896484375,171.0390870679059,254.07105305337612,0.0,159196.0,-0.0776757923238165,2.3404986451322998,0.0,345.13357282498225
123.0,160892.0,288.8323669433594,338.2159729003906,333.2705993652344,171.4838906889271,254.7194535170017,0.0,161350.0,-0.6845399907275578,1.964236820115616,0.0,345.8506938536944
124.0,163315.0,289.8712158203125,339.97100830078125,332.3863220214844,172.77291252735793,257.1575392633862,0.0,163378.0,-1.4678215248884499,1.9354775087127791,0.0,347.5768583649092
125.0,165393.0,290.9866943359375,340.70208740234375,332.1507568359375,173.90685614462234,260.0480724789169,0.0,165095.0,-1.131557651061712,1.823412246776968,0.0,348.5403328639736
126.0,166588.0,294.74249267578125,331.1426696777344,335.5382080078125,174.61807084667345,261.457453517776,0.0,166248.0,0.8473551020326795,1.631838362015401,0.0,349.97370356378514
127.0,168780.0,295.98431396484375,330.64111328125,334.3173522949219,175.85842267410274,263.0931394012394,0.0,167534.0,-0.08381052237803033,2.611079959263293,0.0,357.1362027566695
128.0,169818.0,300.4194030761719,330.0484619140625,337.95294189453125,176.41479214681377,264.02462006411446,0.0,168819.0,1.4378010264845216,1.575314543877937,0.0,358.79613805981865
129.0,171856.0,302.1448669433594,334.2070007324219,336.08544921875,177.54986742515237,265.3337520934719,0.0,170041.0,1.6566405204715693,1.581787228420069,0.0,362.6543764561684
130.0,173614.0,303.75927734375,334.9459228515625,335.37579345703125,178.56717468357328,266.60832695172894,0.0,171654.0,1.3014706767215785,1.8199796677016025,0.0,365.2909527336296
131.0,175049.0,303.9920349121094,336.34326171875,335.1044616699219,179.3148414901691,267.67517628648346,0.0,173030.0,1.3493533675211893,1.8351832677798257,0.0,366.25723497029486
132.0,176508.0,304.60772705078125,334.4912414550781,334.5408020019531,180.10106086881729,268.71546289709494,0.0,174739.0,1.9751696049780776,1.7978505420818465,0.0,367.4814374332766
133.0,177896.0,304.7544250488281,335.01336669921875,334.378173828125,180.8574357705341,269.61639416029584,0.0,176472.0,0.5604144182628943,0.8672495819405981,0.0,368.4474031351967
134.0,179807.0,305.1053771972656,335.69244384765625,334.0078125,181.8733940705133,270.9778588741154,0.0,177961.0,1.9277191560412348,1.7072971398347931,0.0,368.7069995917742
135.0,181907.0,305.6745300292969,334.2146301269531,333.4822692871094,183.00006486538624,272.5307322119838,0.0,179928.0,1.4199756432770982,1.3235249348279012,0.0,370.37987649865113
136.0,183571.0,306.0647277832031,337.3446960449219,333.00775146484375,183.85087272976682,273.8238484728786,0.0,181309.0,1.5047956371041664,2.2046016915444966,0.0,370.63811944544307
137.0,185127.0,306.6534729003906,336.4155578613281,332.4403991699219,184.70284456216436,275.40878707840824,0.0,183120.0,0.3629975380572432,2.1662034373478036,0.0,372.581684164196
138.0,187275.0,307.93438720703125,340.42535400390625,331.0864562988281,185.87573980932635,277.90825824361536,0.0,185126.0,0.4909746036338447,2.593308247135269,0.0,372.581684164196
139.0,189283.0,308.74627685546875,338.1553649902344,330.3091125488281,186.85980595797628,279.35013870193734,0.0,186541.0,0.46353691849515144,1.9269554099933544,0.0,373.8270064117536
140.0,191288.0,311.48150634765625,338.06707763671875,327.5751037597656,187.94463488499366,281.4693589007514,0.0,188018.0,0.7382806967887063,2.0554801519786565,0.0,374.4981647654827
141.0,192488.0,312.4964294433594,340.0906677246094,328.237060546875,188.46216308931852,282.40325775137484,0.0,190406.0,-2.9320600434811013,-1.6882346507532588,0.0,374.4981647654827
142.0,197660.0,316.0357666015625,342.7357177734375,330.5296630859375,190.57271920612095,285.911175013632,0.0,191598.0,-4.5697613429543935,-0.5155218206000427,0.0,374.4981647654827
143.0,198186.0,316.8444519042969,342.3379211425781,329.6130676269531,190.8137545096993,286.1904959987316,0.0,192555.0,0.823039741646312,1.6675360557097179,0.0,374.4981647654827
144.0,200415.0,320.410400390625,340.1657409667969,326.29144287109375,192.06147985974073,288.3400769924292,0.0,193949.0,-0.7302975296753402,1.7940443788019138,0.0,379.55677805012107
