particle,r_px_med,r_um,circ_resid_frac,inlier_frac,r_px_frame_cv,n_meas
3469,13.999999999999991,2.0133399999999986,1.9722512442497363e-15,0.8333333333333334,0.0022766498383176514,9
1903,13.999999999999986,2.0133399999999977,2.210064012016451e-15,0.7741935483870968,0.0028241775776055855,9
374,13.99999999999998,2.0133399999999972,4.490657034650342e-15,0.8387096774193549,0.003098484658210403,9
55,13.999999999999952,2.013339999999993,0.00966757961901747,0.8787878787878788,0.005422455325175269,9
1978,13.991282846126262,2.0120863861014175,0.10060963135920659,1.0,0.055620813867706745,9
3114,13.98516930058276,2.0112071971168066,0.10110600857363293,1.0,0.049146641072759616,9
2350,13.974362744713737,2.0096531063172822,0.014769256011375746,0.8064516129032258,0.05505951360892654,9
2503,13.917576895068645,2.0014867332798216,0.012527302232536579,0.8611111111111112,0.004433737577979351,9
56,13.904174271074748,1.9995593019232594,0.01177816163559177,1.0,0.004197168409280835,9
276,13.84512184864899,1.9910669730542112,0.02524961534346142,0.8529411764705882,0.04806271373607596,9
2251,13.760018925732062,1.9788283217095277,0.10448078270258124,0.9375,0.044240832393423336,9
77,13.727802580794112,1.974195289144001,0.13710977794385246,1.0,0.03361809678734521,9
3568,13.67107941534473,1.9660379307207254,0.12491078764470653,0.9032258064516129,0.055011980829635404,9
2522,13.656962704366077,1.9640078065148854,0.11119069591509295,0.9714285714285714,0.32444844101800635,9
86,13.618132707910446,1.9584236647246012,0.11550256062541024,1.0,0.015073529269838733,9
3144,13.59092152058269,1.9545104238749964,0.1005683400141974,0.9722222222222222,0.13267723492529196,9
2739,13.583284178584655,1.953412097722259,0.16924559265499275,0.9722222222222222,0.14901778410975935,9
872,13.499999999999986,1.9414349999999978,0.01781523536655653,0.8387096774193549,0.05225042095185472,9
2121,13.461753865183725,1.9359348233520715,0.15433365414363545,1.0,0.016805165123327064,3
3127,13.45954778770092,1.9356175673492693,0.07659705402997759,0.8666666666666667,0.06341686627654115,9
2255,13.451871192352792,1.934513596172255,0.02367117087388536,0.7931034482758621,0.028704072908434873,9
1028,13.394950368020384,1.9263278124250114,0.12722475649706524,0.8888888888888888,0.03674674734002445,9
72,13.390994090424376,1.9257588601439295,0.016256121984457517,0.8529411764705882,0.02488058064594923,9
1476,13.324593651512856,1.9162098130240637,0.0185957523678276,0.7931034482758621,0.03128988830202754,9
269,13.31976772560196,1.9155157966188177,0.01508560482489987,0.8611111111111112,0.010386478982756292,9
207,13.274063378927753,1.9089430545236001,0.01640699975701022,0.8529411764705882,0.008154551204389395,9
1782,13.25259207158248,1.9058552658142764,0.015877288860497333,0.9444444444444444,0.007016070153108996,9
76,13.224556864754065,1.901823522720282,0.017907782328954642,1.0,0.003940089021649335,9
2274,13.22455617330862,1.9018234232835127,0.018110072343422025,1.0,0.005317471289560883,9
971,13.196706265305032,1.8978183280135166,0.017616408739355723,1.0,0.003340448048610178,9
2878,13.17848830433205,1.895198403045992,0.16453874521884934,0.9714285714285714,0.08982097839045522,9
2977,12.984196993446185,1.8672573696274957,0.1228941228456088,0.9166666666666666,0.10313919151517216,9
1739,12.862683559753922,1.8497825227282114,0.0559923097928339,1.0,0.036505686891343835,9
2172,12.853410010457212,1.8484488936038517,0.20636266063687914,1.0,0.11327386561263342,9
3428,12.764370895311854,1.8356441784547977,0.045542111354334155,0.8387096774193549,0.06066934564291432,9
3338,12.754435805035497,1.8342154131221546,0.042048201281725865,0.8709677419354839,0.05514718117454522,9
2764,12.685244376038023,1.824264993718028,0.01457516030954976,0.7741935483870968,0.03599019670307444,7
95,12.53689404145166,1.8029307321011632,0.019858307442230175,0.8787878787878788,0.037545525383861744,9
292,12.50976170861807,1.7990288313163645,0.04641565033471309,0.9714285714285714,0.14917905171861923,9
1259,12.499999999999998,1.7976249999999996,3.1518454732465454e-15,0.9722222222222222,0.036364192204577234,9
3540,12.499999999999995,1.7976249999999991,2.228198961628562e-15,0.9166666666666666,0.004800753129674031,9
96,12.499999999999986,1.7976249999999978,2.0502882704004605e-15,1.0,0.010649737113068427,9
982,12.499696639470741,1.7975813737222872,0.013122534894853355,0.7405529953917052,0.03990390033763072,8
2366,12.494575372695914,1.7968448843473994,0.1342468252427365,1.0,0.06127377066507885,9
1500,12.471641824590852,1.7935468107944104,0.05343739700500946,0.7714285714285715,0.08675313083630129,7
664,12.440179419483492,1.789022202315921,0.019556236876971295,0.8857142857142857,0.05204087089717481,9
204,12.39901640706434,1.7831025494999226,0.018091481574397262,0.8888888888888888,0.02175930664035243,9
480,12.335584125657979,1.773980353110874,0.013194044103646841,0.8529411764705882,0.013278983931052231,9
290,12.31891649121321,1.7715833806013717,0.2276089417086713,1.0,0.024224512591824707,9
1216,12.238663810986418,1.7600422426579567,0.018133322166940212,1.0,0.008073668765899168,9
94,12.238654140816445,1.7600408519908128,0.016272054581515386,0.9444444444444444,0.010898024443290476,9
3435,12.217139882645679,1.756946886523275,0.02899405773822084,0.8181818181818182,0.07173290626579507,9
753,12.199066421922213,1.7543477421366334,0.02431063186586494,0.8412298387096775,0.04865894393954022,4
3527,12.198289416441904,1.75423600097851,0.2510214168688541,1.0,0.010552424080228528,9
328,12.168950296917163,1.7500167421996573,0.019105454769621694,1.0,0.002486181104499864,3
73,12.154967845268477,1.7480059258280596,0.01853525965456595,1.0,0.008568199762571832,3
2930,12.099924034942195,1.740090075465037,0.030487794239772516,0.84375,0.07467341308903898,9
2652,12.000000000000004,1.7257200000000004,0.021850590474985616,0.8166666666666667,0.0767427969967474,6
2358,11.82953118205503,1.7012048792913337,0.023853414074122677,0.8387096774193549,0.224155850335501,9
3361,11.8218714058249,1.700103326871679,0.018335331466060943,1.0,0.013539791235571039,9
413,11.786768517153622,1.6950551804518623,0.025996906771078878,0.8857142857142857,0.05060048643783111,9
1815,11.674792795535177,1.6789519519259137,0.1480245898878712,1.0,0.21338158415523859,9
1167,11.640107646050797,1.673963880578565,0.01944272868320428,0.8787878787878788,0.03661957275282777,9
1219,11.586873796204145,1.666308320632118,0.013017920852574114,0.9444444444444444,0.006501534804941564,9
33,11.573515660256806,1.6643872871015313,0.013614527673083307,1.0,0.009457771781492668,9
3401,11.53290038227165,1.658546403974486,0.1489531130903573,1.0,0.07585223350480963,9
34,11.500000000000158,1.6538150000000227,2.928561589997165e-14,0.8333333333333334,0.01157865498310819,9
2876,11.50000000000005,1.6538150000000071,4.442345043682704e-15,1.0,0.010430531442204129,9
1155,11.500000000000034,1.6538150000000047,3.383380283628348e-15,0.8888888888888888,0.0037077242101463148,9
2468,11.50000000000003,1.6538150000000043,3.462584695715556e-15,1.0,0.006509702849119648,9
32,11.50000000000002,1.6538150000000027,1.9206008507474125e-15,0.8333333333333334,0.010416096514198126,9
411,10.91749783670061,1.5700453638959146,0.22205053806449818,1.0,0.09952641864280308,9
2347,10.73051139089374,1.5431548431244286,0.29221675630937005,1.0,0.10009922142680902,9
1393,10.158312826642561,1.4608669675994665,0.17613966393726987,1.0,0.06572174828698908,9
2109,10.113940969316477,1.4544858507974026,0.02418799218898767,0.8529411764705882,0.06392049247570326,9
714,10.01549298816961,1.4403280466286716,0.15507226931212925,1.0,0.06557322803747476,9
3681,10.000000000000018,1.4381000000000026,0.011533437483044015,0.9444444444444444,0.01454802835437681,9
1257,10.000000000000005,1.4381000000000006,2.0433781754125052e-15,0.9444444444444444,0.011993340078314207,9
82,9.979567469937876,1.435161597851766,0.17835551902644287,1.0,0.11920191174931317,8
695,9.922348542720973,1.426932943928703,0.01593213256721142,0.8611111111111112,0.020503426146542283,9
2485,9.904703196691647,1.4243953667162257,0.022949273478258776,0.9722222222222222,0.014459166260712275,9
2905,9.884983587524871,1.4215594897219517,0.16679886891670953,1.0,0.10872711567443837,9
69,9.79686779574047,1.408887557705437,0.18233517096002444,1.0,0.10278674231656845,9
39,9.794768912734924,1.4085857173404093,0.015172643142428293,0.8055555555555556,0.18207030988217515,9
54,9.793770876547443,1.4084421897562878,0.014322299842605217,0.9166666666666666,0.017500579431016895,9
1394,9.714980441951646,1.397111337357066,0.108970849221352,0.9444444444444444,0.12942726705515428,9
1545,9.711470765148325,1.3966066107359807,0.024159531263771454,0.9722222222222222,0.02064091728272366,9
52,9.669552266751483,1.3905783114815307,0.017496171004742038,1.0,0.0179868411336249,9
5,9.651671102519707,1.388006821253359,0.16187392485364166,1.0,0.05143008120372989,8
3232,9.600613061395418,1.380664164359275,0.059430259762266444,1.0,0.060306601817385945,9
2060,9.55288489518967,1.3738003767772264,0.1974644193936702,1.0,0.06652190624362067,9
588,9.533699411052043,1.3710413123033942,0.17653724812736798,1.0,0.04236298188466144,9
1861,9.415143879275082,1.3539918412785494,0.11159989375257003,0.9444444444444444,0.06485885989013744,9
600,9.312053728008593,1.3391664466249156,0.12753895113886782,1.0,0.2354619794111291,9
19,9.257517276082279,1.3313235594733925,0.05658837987417803,0.9166666666666666,0.07278566786979739,9
3586,9.193510603205008,1.3221187598469122,0.10135006556232974,1.0,0.09174093695219562,9
2965,9.113909738778943,1.3106713595337998,0.1306094707847666,1.0,0.07881090792296278,9
2780,9.084494619863982,1.3064411712826391,0.10626765511956776,1.0,0.0634699893033181,9
3514,9.018546524175463,1.2969571756416733,0.15960318734180814,1.0,0.057293446300826806,5
1439,8.993874144532342,1.293409040725196,0.046091281092772836,0.8888888888888888,0.19989994926591384,9
1085,8.881142348611068,1.2771970811537576,0.030810882015912,0.9375,0.2712381905532135,9
274,8.878774830966803,1.276856608441336,0.06304460723524755,1.0,0.16494788844027639,9
147,8.824364315514407,1.2690318322141267,0.18322097260312437,1.0,0.036572984016639665,6
390,8.751998317105176,1.2586248779828952,0.21123009758180084,1.0,0.18873083760562626,9
3600,8.726012817322127,1.2548879032590952,0.06690349616568049,0.9444444444444444,0.1078566019038156,9
833,8.718605796990158,1.2538226996651545,0.18905703765678375,1.0,0.25810978553971514,9
