particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
26,0,908.3666381835938,737.9686889648438,908.3666381835938,737.9686889648438,2.0225375,8.0,-1,32.797573
27,0,516.2786254882812,342.742431640625,516.2786254882812,342.742431640625,1.9638921,6.0,1,16.527939
28,0,204.14263916015625,49.93177795410156,204.14263916015625,49.93177795410156,1.930236,8.0,1,29.011995
29,0,1450.9803466796875,525.0896606445312,1450.9803466796875,525.0896606445312,1.928048,10.0,-1,13.441071
30,0,421.0378723144531,131.3774871826172,421.0378723144531,131.3774871826172,1.8808445,10.0,1,39.75672
31,0,408.0808410644531,123.58644104003906,408.0808410644531,123.58644104003906,1.6174842,8.0,1,30.160921
32,0,24.88545036315918,911.0619506835938,24.88545036315918,911.0619506835938,1.5294534,8.0,1,25.892067
33,0,1543.6114501953125,80.45182037353516,1543.6114501953125,80.45182037353516,1.487197,10.0,-1,16.24361
34,0,1096.78955078125,424.592529296875,1096.78955078125,424.592529296875,1.2815833,28.0,-1,9.225732
35,0,634.02099609375,371.93597412109375,634.02099609375,371.93597412109375,1.2561595,14.0,-1,9.8170395
36,0,1572.134765625,1095.86865234375,1572.134765625,1095.86865234375,1.2211751,28.0,-1,1.0802029
38,0,401.3390808105469,154.37205505371094,401.3390808105469,154.37205505371094,1.000763,20.0,1,55.163696
39,0,391.62640380859375,111.50829315185547,391.62640380859375,111.50829315185547,0.94948006,8.0,1,33.076523
40,0,405.375,874.3091430664062,405.375,874.3091430664062,0.7197996,10.0,-1,5.3383546
42,0,438.02056884765625,111.73873138427734,438.02056884765625,111.73873138427734,0.5788383,12.0,-1,23.285978
44,0,379.9356384277344,100.35379028320312,379.9356384277344,100.35379028320312,0.5745324,16.0,1,47.871326
45,0,904.0778198242188,896.3864135742188,904.0778198242188,896.3864135742188,0.56781846,12.0,-1,6.7994804
46,0,376.8424987792969,145.1359405517578,376.8424987792969,145.1359405517578,0.5531607,8.0,1,6.1246915
47,0,107.63824462890625,706.619140625,107.63824462890625,706.619140625,0.5273814,10.0,-1,9.941786
50,0,25.54464340209961,303.46044921875,25.54464340209961,303.46044921875,0.47319257,8.0,-1,22.847431
51,0,386.5310363769531,169.94317626953125,386.5310363769531,169.94317626953125,0.45632493,26.0,-1,35.089344
52,0,1361.3018798828125,497.71832275390625,1361.3018798828125,497.71832275390625,0.4386491,14.0,-1,6.3563104
53,0,441.57012939453125,124.09436798095703,441.57012939453125,124.09436798095703,0.4304998,24.0,-1,20.190907
57,0,424.2171630859375,163.0492401123047,424.2171630859375,163.0492401123047,0.39122704,12.0,1,14.522276
60,0,672.3717651367188,783.0430908203125,672.3717651367188,783.0430908203125,0.35060945,12.0,-1,6.031415
62,0,398.2937316894531,72.13508605957031,398.2937316894531,72.13508605957031,0.33483514,24.0,1,23.5363
65,0,403.8884582519531,167.7467498779297,403.8884582519531,167.7467498779297,0.30318677,10.0,-1,42.01621
68,0,436.46331787109375,99.2839584350586,436.46331787109375,99.2839584350586,0.2347186,28.0,1,34.82242
1,1,979.2107543945312,1032.4042663574219,979.6096801757812,1032.11376953125,45.22563,14.0,1,9.054432
0,1,172.71282958984375,604.2779846191406,173.11175537109375,603.9874877929688,33.20257,16.0,1,32.65378
3,1,925.367919921875,31.6834774017334,925.766845703125,31.392980575561523,11.928924,12.0,-1,41.535828
6,1,279.84844970703125,684.7732849121094,280.24737548828125,684.4827880859375,11.581406,10.0,1,38.403343
4,1,1279.2008056640625,428.1350402832031,1279.5997314453125,427.84454345703125,10.117829,14.0,-1,40.06607
5,1,1353.4085693359375,294.24041748046875,1353.8074951171875,293.9499206542969,7.118557,10.0,-1,46.476875
