particle,n_frames,D_um2_s,D_err,intercept_um2,fit_npts,size_px_med,size_cv,mass_med
3085,150,0.28599434372791877,0.0027849463399794,0.09749222888270868,30,2.3526371928103873,0.09208726543036545,309.0305686153176
1564,150,0.08727659562336948,0.0023786187539080825,0.31851809842319084,30,3.2003336036574277,0.018638863810954823,266.1546592581926
2821,149,0.13094823321900512,0.004254356369742,0.3732793615596613,30,3.1251413068949825,0.025170423067889407,254.41996685065047
1051,149,0.539354027026271,0.01375929721969868,-0.13064667530640986,30,3.15491283783872,0.0273695295729625,241.1289062011614
2309,148,0.40328961098558314,0.007652863802599821,-0.033634780960397445,30,3.1801343423647177,0.021055950157949428,315.38816030295993
3087,147,0.22159740175876239,0.008825781959933096,0.2808884677758737,30,2.360848730808086,0.11741515974951539,709.8404459883071
20,143,0.04480880942835053,0.0021942945000047952,0.23285776113261203,30,2.360175512840977,0.0655270558241917,500.0254067415795
962,143,0.022281966900482193,0.0023653006308392796,0.2669417299775717,30,3.05404248469115,0.02214299682490839,274.77144059723946
940,141,0.1437818466041471,0.0030342184477712524,0.24385446144309658,30,2.245726058100429,0.14758260042299187,502.6756335702143
26,140,0.11760916476789843,0.0036254489498785715,0.48697312026935496,30,2.6806241296363296,0.10181280207083707,253.36305913757823
1961,140,0.250487039115562,0.003901076302385643,0.04911513677142788,30,2.903741576882365,0.054625200165784496,368.82494270122544
2058,139,0.017818183579554073,0.0005309501978503458,0.04500815657944052,30,3.2057990404647025,0.02913335710962141,232.840455892462
1533,139,0.04294426074202978,0.002870600933110495,0.5334706870084875,30,3.2518994909746515,0.02254957844896655,214.3839709244683
2662,139,0.05902365603365814,0.0036438077104124066,0.8902209579605704,30,3.018400641155304,0.08355681971584546,311.97358186858736
1778,137,0.04469752697913069,0.0012936566738836787,0.04138610274223455,30,2.8829933775881957,0.03250056599972732,722.7641984652655
371,136,0.013082124402476985,0.00530446912146182,0.5607495893183343,30,3.1699855797226704,0.01840907537351792,266.6057900697117
2995,136,0.03276294738434746,0.0016599796432757781,0.11735773874931728,30,2.8228433272610376,0.05380417639355042,413.9023059156165
525,135,0.09820160066619804,0.00867888704400865,0.7662759948100828,30,3.1366181319259425,0.020711487929253924,246.9454997658697
677,135,0.16287998394161785,0.004601083254092288,-0.015606178215542006,30,2.832429690578341,0.08244950141682789,288.6927190326821
3099,135,0.15247575704836244,0.007261286929669019,0.440955704421497,30,2.2537826565895176,0.09309440087244847,519.0301066814511
3104,134,0.10714347731576293,0.0011444383161620954,-0.02680110103035594,30,3.1558107828552098,0.02773329477305181,250.03674355042844
2074,128,0.05818895059349679,0.0015611037358163797,-0.019936640898030697,30,3.186759383851647,0.01218259328494977,881.0311655693467
1332,127,0.10822094341406925,0.00434872913472313,0.2936736669362226,30,3.1423561086986305,0.031862669549936655,245.0679842964692
2226,126,0.3336453213906523,0.010671751112796493,0.24406141907181575,30,2.1704699550925968,0.07006341000395586,343.5268320016677
1407,125,0.07796018081300793,0.0031036592585296217,0.4831348004903696,30,3.1699706210576952,0.027912521415988732,257.0347856808756
2625,124,0.042770375671779735,0.0036642817198711242,0.40318152622352277,30,3.093149755954562,0.016126078171633546,287.5609739404305
66,124,0.1256344576249449,0.0033630222774118043,0.04930801842692979,30,3.338268269557809,0.02673711914218339,219.77981133037704
62,123,0.051294233062458824,0.0006009133501644341,-0.029694989038116862,30,3.1747096377471045,0.03350047538371895,1236.3637972018787
