particle,n_frames,D_um2_s,D_err,intercept_um2,fit_npts,size_px_med,size_cv,ecc_med,nn_px_med,mass_med
59,255,0.16191199852124355,0.0055104034801922415,0.33396777326919375,30,2.174715145694323,0.1095681175338109,0.1495768355559264,82.00133532541624,775.2767141680764
101,254,0.12882827824652168,0.0013419318574659303,-0.05516116120595371,30,2.903104873400754,0.040803927446163596,0.0576133682971402,13.628303057187424,2033.276564201694
3191,246,0.09702152991902356,0.0022934222236328525,0.26060879243274543,30,3.066881300500077,0.01722844709641052,0.37152363306068703,16.002555613082038,390.2964880610524
46,241,0.25380262282959776,0.00638036645056185,0.33404904172988237,30,2.117368692077408,0.17999336501134694,0.0783293370109003,87.62679515927279,699.7315163514924
1713,239,0.21095326591219993,0.004098849168772706,0.27187610139480667,30,3.0677478584585343,0.019472513006742746,0.4267725298511782,64.08243510066899,426.2376181291187
504,237,0.06078561884113909,0.0030933812762443027,0.29905203871112196,30,3.109875989702591,0.015650830290032943,0.3923537876900247,13.648535315719357,535.0704469011631
1305,236,0.2330699146943838,0.0012793822104012447,0.0765009193139163,30,2.132699996790679,0.22153830942901526,0.09133485757331915,85.26924019058387,628.3338817730524
1654,236,0.1503035101389895,0.0018773954368939555,-0.017739504494314256,30,3.2910328162696074,0.026284819850990928,0.0754334533724865,46.457301202414214,2144.6129423008506
4396,235,0.10763436893627773,0.0074133185547471635,0.45870657729536607,30,2.1280218093788545,0.18630806792154125,0.0904567910686339,16.033850191808753,611.3381241338111
1143,232,0.17410295504550224,0.005724813578664104,0.3303603547832828,30,2.0937229374104698,0.12538475062839147,0.08301555631864779,91.64582519448085,690.2584461084383
3468,231,0.23813789529113066,0.007479698264262969,0.388850598273627,30,2.936905934542066,0.11742020346891124,0.3681841268660048,92.90688895432872,546.298709850827
1053,229,0.06558811750678624,0.0009431608309098436,0.17415086824943732,30,3.0476273483418304,0.014509486964366342,0.3932960496505374,17.49112161920808,499.01357394516674
5142,228,0.04560594837863786,0.0007166347960379193,0.20339500192712592,30,3.0666265980317755,0.015397927787267084,0.48104291886380635,26.211329873805816,512.5402091066753
3676,227,0.11375147276848661,0.004200170111580279,0.15201978342404332,30,2.8847046393703075,0.07075303945579038,0.1075033952610666,82.98024300404647,1635.5857900928925
1474,223,0.18196163768583773,0.0063608453176575205,0.3597224846822061,30,2.14660680891476,0.11491231153800459,0.0612278731371408,98.27194193382532,619.2790867601763
5241,222,0.2781144201207367,0.0036036973384461915,-0.0713538024931513,30,2.19677243080963,0.1460751587000531,0.054795928747804604,91.59084890675364,1189.7253360738619
157,221,0.0882873843358579,0.0015346933373803903,0.025706387867901304,30,3.0834115418235206,0.01875828229982358,0.331204210970357,13.405574569568063,626.6763133934345
5248,220,0.08367754132878451,0.0013731296941519395,0.09909181945858328,30,3.2012472648382193,0.035626069787788386,0.0598385939810702,99.17355604560021,2002.5906796321945
2949,219,0.2740583030383969,0.0026402613398060037,0.06815232345687641,30,2.013457954036791,0.08808011690874622,0.0686529186400771,189.9559300820786,744.0664083804036
1336,218,0.018200221625805493,0.0021516430499835615,0.41534920699414274,30,3.169273196521674,0.012908007200794797,0.35648353159484447,15.829662721705603,415.1965239359349
56,218,0.09181945192873864,0.0013381844176988502,0.129617837959314,30,3.0573510017414627,0.013383038337957133,0.39572354942651755,17.194178691040655,511.75984979543216
4888,216,0.10739044515519469,0.0031478660874572776,0.14057033715693498,30,2.6656740079766204,0.04267394287005731,0.016687435202154398,348.69782810761683,1824.0521027009208
5233,216,0.06046875485985118,0.0019109098139708655,0.3706841281009431,30,3.1079783300464383,0.018079463075435828,0.39850821277177273,14.831373056579517,385.5771802490549
3494,215,0.08314912734784408,0.0032082077046315916,0.1676975950431326,30,3.2175371365492618,0.04672466529834068,0.1042600633090037,14.853876027619313,1786.9581072017452
2398,215,0.05253433737285695,0.0020832676266934343,0.3440074781320384,30,3.074698942157697,0.01915543103291403,0.3560011561020506,14.350264061796798,527.6588726740055
5291,214,0.24341852822218743,0.0010409303651600912,-0.04652393014836501,30,2.5381523886046944,0.09530836983575999,0.29095775676383717,129.70506202170304,1015.2306939322805
1607,212,0.12270275938759118,0.010055460044692145,0.503427308065062,30,2.365086352087144,0.12802461462882073,0.05621310737608835,216.05845283173963,1441.9119630811572
5304,211,0.3595433657191541,0.002623559716136311,-0.2027853662397434,30,2.409777873959536,0.052258659196604156,0.047314791037337,102.29180164979299,1516.1414800223213
5230,209,0.21961602621574142,0.004996575323319293,0.06876859716161803,30,2.2711592119292643,0.10604128844734644,0.0532982032290611,128.02809631462597,1414.3983469200691
55,208,0.09088287840551768,0.001551566595902339,0.19295564716695257,30,3.254115458635133,0.05855622678475924,0.12955470258505897,14.199395044759683,1661.1506208975857
499,208,0.10448011807238253,0.003073377242336041,0.5057101490635991,30,3.1526181212372055,0.01619186663009398,0.3539026022529771,15.351984207778921,356.87258905308084
1065,207,0.09017755856933221,0.006520551632524402,0.5870158474773807,30,3.119915835536488,0.02202225296008394,0.4065561950342153,15.231983968420016,487.3218044422027
5232,207,0.05923148215234078,0.0014135371594063324,0.12774262246555845,30,2.475801510025807,0.14929843525368103,0.180536413840768,15.15702058363762,695.0672621078693
812,206,0.044952591938240104,0.0026968172388089377,0.5898739141001746,30,3.1016549993000258,0.018747837203665452,0.437354346482563,15.57699840144981,555.8952596705956
131,206,0.3208059983889245,0.005989171445295094,0.2626745487976416,30,2.577694138524997,0.11349556758560693,0.30077796327114237,173.91190856044338,802.3464651949067
4181,203,0.08361775152457267,0.006361069642108892,0.460524370975181,30,3.0827176734417265,0.021411301688031396,0.4357413152332915,14.749616948850989,444.6592133758073
1117,202,0.24512153720269333,0.004357905366575166,0.28470083365307186,30,2.8071084595155997,0.16822581596558484,0.2706434302602319,17.03171478300807,634.314211979306
4850,199,0.1170325919964155,0.006108102315473724,0.43741202057456946,30,3.1707885154587934,0.022338827498521695,0.3015322806329965,13.443964569225972,367.4124734447652
4382,199,0.03429100953528613,0.0007750261733768803,-0.020154059824127633,30,2.9402490829593724,0.04848434372252527,0.150843039360336,16.00865591441631,1796.019789322205
5124,198,0.0716063439538604,0.004286945289838956,0.36417170946474275,30,3.1040643023320063,0.019038176126159746,0.41426977560060163,16.466718678936793,459.7099199783163
1436,198,0.25513835448208827,0.00507361976791271,0.15622714301188712,30,3.109135061914694,0.03066765939825869,0.4095498146819616,20.856224603035475,525.8923449425727
729,196,0.08844775776599105,0.002780250303342402,0.3456729766475993,30,3.0868535722893893,0.015556889119859373,0.36894955885749603,15.663747120594905,399.93793909505916
4075,195,0.09326439748101543,0.005337099728073028,0.46694020582109236,30,3.3420676176233823,0.02769353369795456,0.1082660298612235,16.407530455517087,548.0055251501299
1191,195,0.15194175702423438,0.0038759634257899862,0.2530097972050504,30,3.044639070916724,0.06267881125461386,0.1276431707845146,39.54804996246042,1672.6013270489514
3939,194,0.04625543819980264,0.0018338846422259855,0.23584988748735808,30,3.2011528276275296,0.0319826519175377,0.16750670902513703,13.343383629341133,454.64188585339554
1858,193,0.027837996166907443,0.00048516161338129233,0.039092941712048995,30,2.8413300902970864,0.03550381527877972,0.3816814134821677,14.638207793480609,387.241000750351
3657,193,0.2508050480968566,0.002459094081408863,0.10488713866969071,30,2.689604543932012,0.14255562601467403,0.377821816109696,76.70845909154757,500.8873853928817
75,193,0.1662423005219792,0.004264600890220064,0.1250609468080104,30,3.149314499725586,0.037256395440368364,0.4119365436387469,15.079428182545378,510.6720450775729
5382,193,0.12922769427096809,0.0047709096227311655,0.2960633171265475,30,1.9372312154919835,0.07850969233515574,0.0885478432543861,51.78658928953944,619.9561332907947
4436,192,0.20717661815114655,0.0030975291097797993,0.18784114481589356,30,3.069018405186645,0.014983505390990453,0.40655912548641804,17.292055281357985,467.26987278442886
5399,189,0.17853655980421201,0.003224676883164234,0.057011932502532905,30,2.478976004090432,0.03849478628890021,0.0620833666012723,73.67853186256075,1559.82241715767
693,189,0.053162792621967714,0.0020740881104339593,0.22591902187382773,30,3.0320523339474583,0.02123898502329654,0.2113884936699449,14.162189986194715,632.550533481394
297,187,0.09577713899452879,0.0015604336217995307,0.14293357098324952,30,3.0610518473707584,0.01618142017456461,0.4432336567597063,16.261052952377785,549.4298534385418
1904,186,0.10490452104272793,0.0028401756075719727,-0.08131354257813599,30,3.0707120591105186,0.019576567833644108,0.3238939329506826,13.491278281821133,602.1573677240001
3780,186,0.09285249270080476,0.00126118806062564,0.1965836682164429,30,3.1992807929258333,0.025693391549981272,0.21617877267680763,15.019935244432983,520.9179976209612
0,184,0.06973455251727491,0.0013078023264896483,0.17481764379239306,30,2.999722033568007,0.05423020782437719,0.32170654589456055,15.52200600288296,557.8558262855611
1961,184,0.15584139979991596,0.0032852789931388086,0.30514809443225,30,2.44904324717639,0.10963443659665123,0.09149952347740514,140.33388039059562,1330.1487114964752
2559,181,0.21452144310574767,0.004762103190829065,0.2753724291748087,30,2.112364861489812,0.08090210845344843,0.0624237127167086,102.72317471343823,640.1530667239923
2571,181,0.14814847163136574,0.0036447753281590046,0.14840863907256413,30,2.83105857136434,0.03108306869574227,0.0549908429732318,82.16845346509928,2009.7955336960647
3228,180,0.06128653482769122,0.0015286279852396666,0.2203952787276225,30,3.269123166650551,0.016510734047389185,0.12805680540160314,20.51013734230392,488.565014697563
2515,179,0.03460766573697399,0.002060677137174957,0.42055502464211225,30,3.4368211244783606,0.01847394979029097,0.0556454952103299,16.787985724749063,377.4391616447271
2684,179,0.4645399526741187,0.003944596994782487,-0.027036406768907513,30,2.959417769998152,0.18915127293257475,0.4303959596187116,215.82027684630825,550.9747956411768
2669,179,0.026262168609848223,0.001541828253169104,0.30652883065767106,30,3.134967567236506,0.017954629110511718,0.3941311425868588,17.561226513251373,390.1650386157818
16,177,0.01750389869236062,0.0005892948086048938,0.08929829657893779,30,3.2658864571423574,0.017146938968023447,0.1981382639681145,14.160123784082238,385.4068568007362
4195,175,0.5720304925488089,0.015349589679413779,-0.12885143464463866,30,2.0342910118634983,0.06089529508232797,0.0804873982827618,201.51956900298444,354.50203629356747
527,175,0.23253586989857955,0.005466616160698784,0.31914769046715674,30,1.952988600007397,0.24450609441565765,0.1406173709197455,45.16423408810508,684.2592371478131
