particle,keep,proposed,reason,R_px_med,sym_med
2205,0,reject,not-round;elongated,13.111756139339784,2.7023649
1027,0,reject,short,10.843077721788728,2.6301432
6878,0,reject,not-round;mislink,12.648751405296906,2.6117952
5435,0,reject,two-cores;not-round;elongated,13.554356668334734,2.6045899500000003
1645,0,reject,not-round;elongated,8.59527262414441,2.5940541
6339,0,reject,not-round;elongated;mislink,13.855596681532091,2.5891056
7586,0,reject,two-cores;defocus,9.62640057751131,2.58764035
3458,0,reject,not-round,25.191693885460296,2.53764395
1822,0,reject,not-round;elongated;defocus,8.43590432661395,2.51002215
7707,0,reject,not-round;elongated,10.239085008725295,2.46966
2608,0,reject,not-round,9.773122794384747,2.4393759
3756,0,reject,not-round,7.574735872938879,2.3887146
939,0,reject,short;rigid-doublet;not-round;elongated,7.848202306162273,2.38543175
6825,0,reject,defocus,7.391570016959177,2.2772586
7064,0,reject,two-cores;not-round;defocus,9.94284207826281,2.2771206
6729,0,reject,not-round;elongated,14.63947628773018,2.23529245
53,0,reject,short,9.685900206112546,2.1514377500000004
2480,0,reject,two-cores;not-round,12.273067174895257,2.139724
8261,0,reject,defocus,6.6951324096973455,2.10619125
5089,0,reject,two-cores;not-round,16.64548031041643,2.0915079
3595,0,reject,short;two-cores;not-round;elongated,9.846422193790051,2.0652757
4119,0,reject,not-round;elongated;defocus,8.912760834178629,2.0531542
1302,0,reject,two-cores,8.551730288341238,1.99640575
2900,0,reject,not-round;elongated,9.199314176512743,1.9872228
2252,0,reject,not-round;elongated,15.053995944538904,1.9549619
5649,0,reject,not-round;mislink,11.845182375833163,1.9497428
2483,0,reject,two-cores;not-round,25.97806136691597,1.9428525
384,0,reject,not-round;elongated,14.43571758238174,1.928567
2353,0,reject,short;two-cores;not-round;defocus,12.050576622995877,1.9241681
5490,0,reject,two-cores;not-round,11.367877035454796,1.9194621
6352,0,reject,not-round;elongated,15.547256070183064,1.9182773
261,0,reject,two-cores;not-round;elongated,8.6786982209895,1.7532554
5725,0,reject,two-cores;not-round,8.261453468365204,1.7294496
