particle,keep,type,note,source,proposed,reason,x_med,y_med,R_px_med,sym_med
4324,0,reject,,auto,reject,not-round;elongated,39.77602767944336,236.42254638671875,13.791694475554737,0.60957986
3745,0,reject,,auto,reject,two-cores;not-round;elongated,1426.4701538085938,426.6494445800781,12.209482113420918,0.60835492
1521,0,reject,,auto,reject,not-round;elongated;defocus,1427.5119018554688,407.7510681152344,16.476066168153363,0.6066667
914,0,reject,,auto,reject,two-cores;not-round,847.7148742675781,639.460693359375,29.29463643845628,0.60256851
43,0,reject,,human,reject,not-round;elongated,1447.07080078125,402.36474609375,16.566205066027674,0.6019312800000001
1079,0,reject,,auto,reject,short;two-cores;not-round;elongated,1459.607666015625,398.1281127929688,14.107238625881315,0.60015124
4981,0,reject,,auto,reject,not-round;elongated,1607.7093505859375,851.2115478515625,26.04870849168164,0.6000851
2868,0,reject,,auto,reject,not-round;elongated,1183.6910400390625,739.0548095703125,12.13252149308894,0.58777416
1761,0,reject,,auto,reject,not-round;elongated,620.9130859375,51.99069595336914,14.00489441643187,0.5856187
4759,0,reject,,auto,reject,not-round;elongated,1598.9915771484375,853.6203308105469,23.61636011897924,0.58434023
3193,0,reject,,auto,reject,not-round;elongated,1580.1860961914062,851.1713256835938,18.112571187784877,0.5821951649999999
696,0,reject,,auto,reject,short;not-round,1089.2117309570312,335.50732421875,13.818633433054758,0.57988253
3673,0,reject,,auto,reject,not-round;elongated,159.279541015625,439.0914306640625,16.433762158097885,0.5792699
2377,0,reject,,auto,reject,not-round;elongated,1142.8492431640625,171.85342407226562,15.736779474837723,0.5727801
4623,0,reject,,auto,reject,two-cores;not-round;elongated,568.9612121582031,538.3275756835938,17.6101933210821,0.5724222800000001
3499,0,reject,,auto,reject,not-round;elongated;defocus,1055.92236328125,370.6903076171875,15.524570594457808,0.5704513
6352,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1418.2311401367188,403.1255493164063,13.123063864006909,0.56383845
2416,0,reject,,auto,reject,rigid-doublet;not-round;elongated;defocus,1436.9425048828125,394.8810729980469,14.64837180302527,0.5638082
659,0,reject,,auto,reject,not-round;elongated,158.62647247314453,462.0893707275391,16.1326382825087,0.56317995
3910,0,reject,,auto,reject,not-round;elongated;mislink,834.9949035644531,787.8518676757812,16.549064062568096,0.56100605
1975,0,reject,,auto,reject,two-cores;not-round;elongated,1436.4998779296875,405.5865783691406,13.960829405997666,0.55867267
4904,0,reject,,auto,reject,short;not-round;defocus,807.1998901367188,544.3211669921875,15.061398922706656,0.5574661
4208,0,reject,,auto,reject,two-cores;not-round;elongated,161.88060760498047,462.1507873535156,17.40296273509305,0.55614118
2411,0,reject,,auto,reject,not-round;elongated,168.84048461914062,466.6133117675781,16.3870090134248,0.5551323
52,0,reject,,human,reject,not-round;elongated;defocus,1570.3116455078125,846.5003051757812,16.16691316085423,0.547801035
3927,0,reject,,auto,reject,two-cores;not-round;elongated,1080.139892578125,380.8406524658203,17.178455107045927,0.53867753
60,0,reject,,human,reject,not-round;elongated,550.5538024902344,541.0391235351562,15.820601097252489,0.538596275
2239,0,reject,,auto,reject,short;two-cores;not-round;elongated,1418.7952880859375,405.017578125,16.292745710496742,0.531002015
3293,0,reject,,auto,reject,not-round,570.9448547363281,511.9549560546875,16.022271463255542,0.52830608
4701,0,reject,,auto,reject,two-cores;not-round;elongated,163.11302185058594,429.549072265625,15.92190681774473,0.52051128
6431,0,reject,,auto,reject,not-round;elongated;mislink,1608.096923828125,833.0615844726562,19.20487490890137,0.51856184
6952,0,reject,,auto,reject,short;two-cores;not-round;elongated;defocus,1424.2765502929688,417.1971893310547,12.886782463166591,0.51661555
5708,0,reject,,auto,reject,two-cores;not-round,146.06593322753906,449.4693603515625,16.501858138174445,0.5164844
6316,0,reject,,auto,reject,not-round;elongated,1437.449951171875,417.6505126953125,11.53976720021481,0.5163628
4674,0,reject,,auto,reject,two-cores;not-round;mislink,1428.936279296875,408.7513732910156,11.572854584484432,0.51566255
3097,0,reject,,auto,reject,not-round;elongated,188.8506622314453,448.3655700683594,16.07996773053393,0.51204
75,0,reject,,human,reject,not-round;elongated;defocus,1441.1814575195312,407.76702880859375,17.502187314176446,0.5116865749999999
4862,0,reject,,auto,reject,two-cores;not-round;elongated,176.782470703125,449.8048248291016,18.33100353864007,0.51155345
5329,0,reject,,auto,reject,two-cores;not-round;mislink,1081.185546875,396.8707885742188,38.21704659761802,0.51121217
5726,0,reject,,auto,reject,not-round;elongated,155.90150451660156,428.9544219970703,17.02714588044588,0.50896451
6622,0,reject,,auto,reject,two-cores;not-round;elongated,161.06175231933594,419.9085235595703,18.07105264275337,0.507962975
6549,0,reject,,auto,reject,not-round;elongated,1572.1712036132812,830.23828125,38.138735505711765,0.5061003500000001
44,0,reject,,human,reject,not-round;elongated,753.0726318359375,512.7202758789062,16.59498121269359,0.5044423
4932,0,reject,,auto,reject,not-round;elongated;defocus,570.8892822265625,507.2779846191406,15.651582552567582,0.503022735
3890,0,reject,,auto,reject,not-round;elongated,1439.0958862304688,410.2590026855469,17.20793154719125,0.49861145
5945,0,reject,,auto,reject,short;not-round;elongated,715.9214477539062,469.2481689453125,17.3706266841971,0.49815001
2507,0,reject,,auto,reject,two-cores;not-round,559.5486450195312,534.22900390625,15.684304304105856,0.494888215
2630,0,reject,,auto,reject,two-cores;not-round;elongated,191.58140563964844,451.19573974609375,16.97096043652518,0.4895158
6617,0,reject,,auto,reject,not-round;elongated,702.3707275390625,495.9234924316406,17.322017233870838,0.4845948
5539,0,reject,,auto,reject,not-round;elongated,1130.6139526367188,173.3536148071289,15.692419892689108,0.48238748
4105,0,reject,,auto,reject,not-round;elongated,1146.140625,177.87935638427734,16.697228406780972,0.48020927
6712,0,reject,,auto,reject,not-round;elongated,141.90110778808594,439.22422790527344,16.90171846628562,0.477166015
4861,0,reject,,auto,reject,not-round,33.48321533203125,614.5516967773438,16.050027367546477,0.47477022
2585,0,reject,,auto,reject,not-round;elongated,726.2834777832031,518.9620056152344,19.494857607335437,0.471805825
3488,0,reject,,auto,reject,two-cores;not-round,578.0232849121094,533.9154052734375,16.343021042239293,0.471324415
6510,0,reject,,auto,reject,short;not-round;elongated,562.971435546875,496.4110412597656,14.71856912413324,0.46859172
3821,0,reject,,auto,reject,not-round;elongated,1586.6624755859375,843.1690063476562,21.542655553497603,0.466899
239,0,reject,,auto,reject,not-round;elongated;defocus;mislink,834.69384765625,788.3095092773438,25.34804359522881,0.465820935
3908,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1072.7470092773438,396.60377502441406,13.758741385538343,0.461500825
