particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
698,60,12.048691065980233,0.08627289615536457,0.14394261959002336,0.1936435981123067,0.518594453706198,1.0,0.0,0.9166666666666666,5,1619.9452514648438,360.2390899658203,0.42804602999999997,1,-1,,,1.6226158443331578,5.661726540935992,False,not-round;elongated,reject
1393,460,13.183398040109827,0.197595969522198,0.2626413163860934,0.35376636245449855,0.6620238759864605,1.0,0.05555555555555555,0.9375,36,1088.464111328125,236.19224548339844,0.416255785,-1,-1,,,1.027017168104549,7.024822455431044,False,not-round;elongated,reject
661,654,20.72100402567699,0.11309065562380657,0.21905163577666664,0.3184104610302544,0.49670798715448483,1.0,0.25,0.8854166666666667,52,1316.43310546875,27.49469757080078,0.41097253499999997,1,-1,,,1.0137745860869165,6.065189887343337,False,not-round;elongated,reject
45,541,9.854051337325618,0.5562997798435324,0.07115299299448073,0.21683904146584584,0.5045100107096492,1.0,0.22727272727272727,0.7894503546099291,44,967.3952026367188,253.9440460205078,0.41040495,1,-1,,,0.9451965082397692,6.611480507228424,False,not-round;elongated;defocus,reject
59,82,25.579091188248608,0.08634019434412922,0.23554828955952425,0.2692961114740643,0.6240096119736649,1.0,0.375,0.9581117021276595,8,1260.4638061523438,15.595360279083252,0.40778944,1,-1,,,1.2921595024031054,6.217338161854788,False,two-cores;not-round;elongated,reject
1975,182,14.99983238949649,0.1505402242236169,0.2960235065033988,0.3271128158352404,0.5454787821848933,1.0,0.14285714285714285,0.9791666666666666,14,1074.013671875,241.67950439453125,0.406985045,-1,-1,,,0.7601875749906812,4.935376397629575,False,not-round;elongated,reject
1284,112,25.213402116029233,0.06877630741164786,0.18074245856830995,0.3541420695985543,0.5713660541718097,1.0,0.0,0.8333333333333334,8,1291.4760131835938,22.552505493164062,0.40341808,1,-1,,,1.1470794228262648,7.625853837931297,False,not-round;elongated,reject
446,51,20.774456001753727,0.026712910880785087,0.31057444881400087,0.32433194172331004,0.44531075723456237,1.0,0.0,1.0,4,1272.63623046875,11.589713096618652,0.40340802,1,-1,,,1.103433167869428,3.0648205746051023,False,short;not-round,reject
375,876,10.986384198375367,0.0681178039036379,0.12463115821522673,0.17992147978757694,0.42661786231819954,1.0,0.0,0.9479166666666667,70,1125.6168823242188,316.01768493652344,0.401487155,1,-1,,,0.8035158530829812,3.048865151716978,False,not-round,reject
1114,65,27.121739161114117,0.07169555502557814,0.3006642884363041,0.3426710755716816,0.6071558283497759,1.0,0.0,0.9791666666666666,5,1049.8358154296875,263.8115234375,0.39761877,1,-1,,,0.8004429723400003,6.013712044505372,False,not-round;elongated,reject
