particle,n_frames,v_dx_um_s,v_dy_um_s,v_drift_um_s,v_drift_se,drift_z,drift_flag,r2_msd,lin_flag
270,461,-0.08573999850881632,0.03580590834389388,0.09291614723299257,0.0883729009545773,1.0514099484043242,False,0.999567170419487,False
438,456,0.00845130263562912,-0.03772433453213157,0.03865940936086797,0.04269005114703784,0.9055835802986724,False,0.995365499252922,False
63,456,-0.09472236933294963,0.08862032008092187,0.12971464213146008,0.06314992595234038,2.054074334613733,True,0.9992356860846913,False
627,454,0.008213357267307164,-0.04317392486855486,0.04394823120622771,0.07250367655233358,0.6061517607938904,False,0.9994315373619744,False
26,450,0.1302107534120862,0.02672895393397207,0.13292583376660655,0.07997410661448928,1.662110893059026,False,0.9950069121062723,False
707,444,0.019060321401553608,-0.06464051113858502,0.06739207321479326,0.06309988618879259,1.0680221040836526,False,0.9915579333144522,False
1084,444,0.05334637328749064,-0.07235742478378702,0.08989678784177826,0.07027066765335681,1.2792932078749635,False,0.9996610823383826,False
41,430,0.1625629534820781,-0.10303978177019261,0.19246794660946848,0.0895290900787413,2.1497811095833983,True,0.9990431818058988,False
1480,391,0.09189724024898889,-0.017045943555021,0.09346478993215222,0.05389508870043393,1.7341986475179454,False,0.9905860269636672,False
40,390,-0.08671765373204143,0.08613021727241683,0.12222260754943813,0.07814906033713116,1.563967717873713,False,0.9972501560545396,False
1231,373,-0.010037556155275639,-0.029442583705358967,0.0311065631148377,0.04838079933024872,0.6429526495108816,False,0.9872350186705094,False
1074,368,0.028898805511317276,-0.14287555360845386,0.14576887452025933,0.07689177659824657,1.8957667642651843,False,0.9956753943130843,False
1435,358,-0.03617191115721091,-0.08682097503067662,0.09405471206719274,0.09602211526747995,0.9795109366752982,False,0.9939604583215597,False
1718,341,0.19225379698799458,-0.31558591376324285,0.3695348311351475,0.1554977597367124,2.3764640195514137,True,0.9991259970826666,False
899,317,0.06030990587669086,0.14265708602310478,0.1548816610818041,0.09842565861488005,1.5735902940494928,False,0.9937872964168513,False
1774,307,-0.01825345467384873,-0.02949273700776562,0.03468443662133606,0.08566071927579184,0.4049048025112492,False,0.9885171663158886,False
635,294,0.029193642131104272,-0.050769849089747965,0.05856488980161039,0.05608488793682841,1.044218718375177,False,0.9983795615465461,False
228,293,0.12674263801262978,-0.10994443419561842,0.16778401265017825,0.07824831894877862,2.144250699622183,True,0.9944486052046063,False
