t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
183.0,83763.0,214.21493530273438,622.9226684570312,370.317626953125,130.0293150225059,269.14066953399,0.0,68986.0,0.3433154181527698,-0.27816282483661325
184.0,84255.0,214.9281005859375,623.2789306640625,370.94281005859375,130.38750510358082,269.9264713080495,0.0,69604.0,0.2487449875669654,-0.3475687468401816
185.0,84785.0,215.60552978515625,623.8338012695312,371.3715515136719,130.75697976750868,270.6736041642486,0.0,66637.0,0.3065127211478966,-0.21118196849926107
186.0,85454.0,216.6916961669922,625.40380859375,370.42303466796875,131.19997771011444,271.28029784707917,0.0,66445.0,0.3137182747245788,-0.30506458909212597
187.0,86024.0,217.64938354492188,626.7571411132812,369.6410827636719,131.60582139321932,272.2498852157701,0.0,71259.0,0.2602169396923273,-0.3263252800324494
188.0,86466.0,218.4852752685547,627.6897583007812,369.5636291503906,131.90836880167237,273.02930245671433,0.0,67861.0,0.1653122410426704,-0.21704259727238195
189.0,86951.0,222.9126434326172,634.0,360.0,132.27402401800342,273.71152695246883,0.0,68806.0,0.1749024242166115,-0.15293657271826078
190.0,87501.0,223.61697387695312,634.5,360.5,132.64170432697898,274.54872063078346,0.0,69854.0,0.06528290154835759,-0.32199656674197286
191.0,88049.0,223.9381561279297,635.0,360.5,133.01666935697298,275.1908428709066,0.0,73193.0,0.023276250369690388,-0.12252342494764434
192.0,88511.0,224.20091247558594,636.0,360.0,133.31673472299516,275.9601420495358,0.0,73744.0,0.09775701652893076,-0.08476169241316711
193.0,89070.0,224.58250427246094,636.0,360.5,133.67415488788768,276.8961897883358,0.0,74001.0,0.21919130215167115,0.07163344079594935
194.0,89621.0,225.1544952392578,634.5,362.5,134.024460479287,277.58422145359776,0.0,71491.0,0.12509913402880102,-0.06901297975230136
195.0,90288.0,225.2222137451172,634.0,363.0,134.48231003265954,278.79015404675636,0.0,75813.0,0.19463120327111483,-0.1477523918650263
196.0,90784.0,225.9259796142578,634.5,363.5,134.7929527322231,279.4731650620452,0.0,75714.0,0.08794310787334325,0.030675202641646138
197.0,91398.0,226.31239318847656,634.5,364.0,135.20031794011308,280.4567702873297,0.0,73242.0,0.23313216491817457,-0.30816335488958657
198.0,91853.0,226.6297607421875,635.0,364.0,135.50597159668345,281.0871750898643,0.0,76391.0,0.048048515498976485,-0.2740673430606648
199.0,92383.0,227.01608276367188,635.0,364.5,135.84632088298235,281.7832500324789,0.0,72606.0,0.08808259941599772,-0.08939601250398255
200.0,92973.0,227.65170288085938,636.0,364.5,136.22222942014568,282.4535360019414,0.0,77052.0,-0.012615490759571912,-0.2735170313151798
201.0,93597.0,227.9705047607422,636.5,364.5,136.60176109891745,283.14413289967644,0.0,74628.0,0.18112892169358474,-0.11728355987577288
202.0,94188.0,228.4235076904297,636.0,365.5,136.97650415746583,284.00580979476365,0.0,77925.0,0.18597433277943765,-0.17129034077055394
203.0,94856.0,228.49354553222656,635.5,366.0,137.4016610701763,284.6756926739998,0.0,78251.0,0.13558881971573555,-0.14095167795920815
204.0,95436.0,228.5657501220703,635.0,366.5,137.7620891818321,285.59499285269675,0.0,75219.0,0.014035977587923298,-0.09898762231858882
205.0,95945.0,229.1970672607422,636.0,366.5,138.07173318643441,286.34245231889736,0.0,76739.0,0.1066206386445856,-0.16970059050794362
206.0,96348.0,229.3786163330078,637.5,365.5,138.30558365579842,286.8430755548732,0.0,76136.0,0.04948513473436833,-0.11447683900252059
207.0,96826.0,229.9566192626953,639.0,365.0,138.61137559656547,287.53695382731996,0.0,76422.0,0.09659680323761677,-0.11440457489896971
208.0,97268.0,230.27874755859375,639.5,365.0,138.86413711981675,288.01562457616774,0.0,75905.0,0.1832920776332685,0.05457191331709055
209.0,97808.0,231.30618286132812,640.5,365.5,139.19720034920144,288.6783676625602,0.0,77016.0,0.07642290635294557,0.0388346067517773
210.0,98397.0,231.87417602539062,632.8880615234375,372.3940124511719,139.57576912827446,289.2777212225269,0.0,78069.0,0.07521470772826433,0.0180495117762689
211.0,98786.0,232.2677764892578,633.3277587890625,372.378662109375,139.82740597642595,289.66359798911566,0.0,78406.0,0.2775331551661111,-0.040408690402500724
212.0,99593.0,232.54190063476562,634.1397094726562,371.2492980957031,140.31962121283803,290.66303514551004,0.0,81976.0,0.2978231269580647,-0.06028698141574296
213.0,100117.0,232.82260131835938,634.3689575195312,371.4239807128906,140.63266754752848,291.29023327259017,0.0,79095.0,0.3920077023982458,-0.13676051574520898
214.0,100564.0,233.1676483154297,634.6507568359375,371.638671875,140.9007577246926,291.92464781172555,0.0,82817.0,0.266623015446271,-0.003982676888426795
215.0,101085.0,233.8560333251953,635.212890625,372.06695556640625,141.20539477242818,292.3819419220317,0.0,80823.0,0.37149299920611156,0.04528478889233156
216.0,101670.0,233.8560333251953,635.212890625,372.06695556640625,141.5366227080944,293.00170647967224,0.0,81777.0,0.3646976278726015,0.14785503342784523
217.0,102398.0,234.20843505859375,635.5006103515625,372.28619384765625,141.9774229554528,293.5618331682686,0.0,81275.0,0.3347788896594466,-0.2575047824340686
218.0,102974.0,234.22630310058594,635.5151977539062,372.29730224609375,142.33193840566983,294.0493155917898,0.0,84391.0,0.27353296360467994,-0.048855596657119804
219.0,103595.0,234.92825317382812,636.0882568359375,372.7339172363281,142.6678387688489,294.6794869005985,0.0,82153.0,0.2706230334599695,-0.2642486050719981
220.0,104051.0,235.56588745117188,637.9172973632812,370.1857604980469,142.91030610503176,295.0474537665995,0.0,81855.0,0.21208038627253245,-0.08532089112816266
221.0,104455.0,236.20584106445312,639.041015625,369.2005310058594,143.14841572707584,295.4835020520901,0.0,82740.0,0.2403810221466074,-0.06142594849706029
222.0,104881.0,236.7333984375,640.2406616210938,367.72601318359375,143.41348249437587,295.96790366524544,0.0,83984.0,0.2270312025285648,-0.11815464258518205
223.0,105264.0,237.63548278808594,641.5697021484375,366.88299560546875,143.64693303978547,296.31908477180474,0.0,83514.0,0.09822726045513264,-0.08210587040423434
224.0,105941.0,237.96754455566406,640.5,367.5,143.98626867352434,296.84002425549016,0.0,83457.0,0.15789892885663903,0.019786317730563496
225.0,106621.0,238.5980987548828,638.0,370.0,144.33946886404175,297.3112846832424,0.0,84679.0,0.19739478224357754,-0.1577826566292515
226.0,107058.0,239.0069122314453,638.5,370.0,144.59296572091804,297.56755534963855,0.0,84761.0,0.18650418605136565,-0.1279485970385963
227.0,107474.0,239.71295166015625,638.0,369.5,144.83780476087708,297.92297658443846,0.0,84344.0,0.12516166923694527,-0.07349903687321557
228.0,107863.0,240.7167510986328,637.5,370.5,145.07895306232385,298.29632917239223,0.0,83310.0,0.0340430673074934,0.017224437030449735
229.0,108355.0,241.1644744873047,637.5,370.0,145.38716333899202,298.87489019754787,0.0,86694.0,0.06986682180433945,-0.07323518584007616
230.0,108815.0,242.12921142578125,638.5,368.5,145.6695357861025,299.2824752637548,0.0,86743.0,0.044654054489228656,0.02405053067462859
231.0,109149.0,242.8014678955078,638.5,368.5,145.89435473843577,299.6681497923995,0.0,89337.0,-0.02920494135764784,-0.07101216568912605
232.0,109451.0,243.47598266601562,639.5,368.5,146.087943758221,300.07082477757524,0.0,85110.0,0.03427806148556556,-0.17004349549000608
