particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,r2_msd,fit_npts,v_dx_um_s,v_dy_um_s,v_drift_um_s,v_drift_se,drift_z,drift_flag,lin_flag
17,149,0.08802794387554107,0.011582675409504587,0.5309065828313142,0.6840953008165447,0.6735055180493632,30,-0.09318994533728463,0.06420585165348898,0.11316694437209096,0.10482147495653026,1.0796160273362074,False,True
40,148,0.7199326374122558,0.007175386454715406,-0.6218086030229668,1.2649668003014745,0.9972263054978436,30,0.0487692202256594,-0.36874553980551283,0.3719565968871609,0.2997684474465544,1.240813034378733,False,False
29,145,0.34978703693906915,0.0058795328950890695,0.16148896610289556,0.8678600843649681,0.9921510052957925,30,0.41602911896482414,0.08165679031629662,0.42396704970010046,0.2089497436926245,2.029038381228058,True,False
7,143,0.09076529522765013,0.0016196370436479678,-0.0509384169297949,0.973423451982068,0.9911631207845542,30,-0.1855080213852123,0.034513526479823045,0.18869130745301924,0.1067977679897548,1.766809466197089,False,False
51,92,0.09867909176443422,0.0032053736843663853,-0.02963166101199197,0.9294103677148366,0.9713040711162343,30,-0.21305595493528698,0.10317045145878816,0.2367213171381006,0.12975749253207125,1.824336402613451,False,False
183,90,1.2530998869807253,0.028527192670886818,-1.3047746272518161,1.2292880216717015,0.9856963177293546,30,0.377076513444555,-0.9012718632765329,0.9769737297007811,0.511718318078353,1.9092021825007042,False,False
22,86,0.04061344964971413,0.0007055408912463717,0.05362703844428312,0.7303389811505623,0.9916206905155793,30,-0.11682014039001686,0.13311461247931083,0.17710574597189202,0.09426676393807867,1.8787718870696364,False,False
208,80,0.8569071451090058,0.025296779926102547,-0.8542655498173992,1.1446109157081479,0.9761795108083735,30,0.845928087088618,-0.10526962611737746,0.8524529445713124,0.446328901774483,1.9099210048513329,False,False
153,77,0.12200888158452138,0.01034507643178929,0.4121619759707668,0.6842798339589163,0.8324319270507811,30,0.12572465925951348,0.09011148900742401,0.15468280575764026,0.15967386634084849,0.9687421573887737,False,True
218,67,0.7019962594863783,0.019707610751821234,-0.9213759097468522,1.2109155514907657,0.9784088020986011,30,0.7147943833443152,-0.36096600372954263,0.8007667989552614,0.42881636034599896,1.8673886376656592,False,False
250,64,0.07495782375707671,0.001432710023997885,0.0037575727750424857,0.8807966997561635,0.9898743995979817,30,-0.15294649751805164,-0.15385033335559278,0.21693906097488852,0.1487549175515874,1.458365642935167,False,False
181,62,0.055785034662512334,0.009313089474787694,0.27584310740640705,0.792073362577733,0.5616755554600267,30,0.11105560272092777,0.18576750758986577,0.2164322382914786,0.13041485348959123,1.6595673920590084,False,True
25,60,0.3042750914747871,0.008073915832210574,0.46295495358273137,0.8279690926366178,0.9806663026461978,30,0.5185733182398097,0.24612192069841968,0.5740159285581943,0.30969936628734196,1.8534617472404413,False,False
266,60,0.6345110469375533,0.04051621835007574,1.2026545136024287,0.9236306523011047,0.8975321812750574,30,0.606773718461563,0.5664902740158904,0.8301117852255024,0.4472256559100182,1.856136324595208,False,True
