t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
79.0,15964.0,147.10635375976562,378.5,320.0,75.3047978235676,160.58953888718904,0.0,13248.0,1.0502272687666618,-0.25755435873077204
80.0,16320.0,147.85137939453125,380.0,320.0,76.31502499914347,161.27616066858735,0.0,13703.0,0.9479398437732698,-0.2985026792903227
81.0,16650.0,148.43275451660156,378.0,321.5,77.05743076185189,162.0327116992835,0.0,12765.0,1.0404020463276993,-0.14146059312707848
82.0,16948.0,149.63381958007812,378.5,320.0,77.66215812582891,162.6526972497057,0.0,13575.0,0.9191465428095853,-0.19551382666338668
83.0,17350.0,153.16995239257812,382.0,322.0,78.43566143629842,164.14795154891095,0.0,13603.0,0.9218832162770241,-0.1919157642860796
84.0,17745.0,154.26368713378906,385.0,320.5,79.34933653058704,165.6025361419985,0.0,14041.0,0.9931554718776852,-0.24826404421281723
85.0,18049.0,156.85194396972656,384.5,318.5,80.03081622533715,166.73212024771757,0.0,14216.0,0.9540304695620989,-0.280070586453121
86.0,18262.0,158.31150817871094,386.5,317.5,80.56305199388605,167.7986887292513,0.0,14242.0,0.9284915178409392,-0.27268946578931264
87.0,18587.0,161.22665405273438,388.0,316.0,81.38377457624928,168.49361912977733,0.0,15604.0,0.969125476529257,-0.34624872336598855
88.0,19604.0,164.61024475097656,384.5,318.5,83.99427329352248,169.75143589980047,0.0,16060.0,3.097032320106109,-2.966021573443129
89.0,20028.0,164.61024475097656,384.5,318.5,84.99464327571015,171.14321488157222,0.0,16095.0,3.8397508547874395,-5.994523459043535
90.0,20810.0,165.02435302734375,386.0,318.0,86.71785115495193,171.7183739919112,0.0,17460.0,0.6034194976000435,0.13814973644417705
91.0,21107.0,165.86526489257812,387.5,318.0,87.12806795449953,172.53811171142937,0.0,13452.0,1.497401288911874,-0.856530108825666
92.0,21524.0,166.56015014648438,388.0,318.5,87.80394201799547,173.80434387060552,0.0,16135.0,0.6599346457121555,-0.5599529320667784
93.0,21910.0,168.10720825195312,390.0,319.0,88.38946539343408,174.19141764635543,0.0,16194.0,0.7024177233017781,-0.3353062003453715
94.0,22221.0,168.51791381835938,390.0,319.5,88.88964760929132,174.80560631741764,0.0,14077.0,1.1934804844349856,-0.7457420287213381
95.0,22524.0,168.96829223632812,391.5,319.0,89.4576157573784,176.0806632868867,0.0,15888.0,0.6881625343828546,-0.291909045103921
96.0,22892.0,169.54730224609375,392.5,319.0,89.99036702435689,176.95861092983495,0.0,15827.0,0.7819886207164473,-0.32248998690437247
