t_s,M_px,Rg_px,R95seed_px,Rmaxseed_px,circ_cx_px,circ_cy_px,circ_R_px,edge,n_comp
230.0,297748.0,250.73538234767645,370.7573330360439,470.2520600699161,490.84197998046875,330.42156982421875,424.81976318359375,1.0,5.0
230.5,298433.0,251.02733068899732,371.1940193483726,470.95222687656974,491.249755859375,330.3787536621094,425.1839599609375,1.0,3.0
231.0,299170.0,251.30238579070829,371.6019375622253,472.3494469140405,491.1067199707031,329.3735656738281,425.9449462890625,1.0,3.0
231.5,299946.0,251.6469693964519,371.97681371658894,473.05919291352956,490.7614440917969,328.9000549316406,426.51507568359375,1.0,4.0
232.0,299266.0,252.07816636631406,372.37749663479934,473.79531445551464,490.961669921875,328.79443359375,426.9772644042969,1.0,2.0
232.5,300298.0,252.3909451841241,372.8645866799367,474.5324014227058,491.40277099609375,328.7419128417969,427.3331604003906,1.0,3.0
233.0,301203.0,252.74457995958517,373.2773767588923,475.2283661567352,491.2370300292969,328.6418762207031,428.0859680175781,1.0,2.0
233.5,301803.0,253.0176816920122,373.75125417849773,476.64242362592944,491.6065368652344,327.5326843261719,428.45501708984375,1.0,2.0
234.0,302746.0,253.35078136647127,374.2098341839776,477.3604508125909,492.06854248046875,327.9701843261719,429.14947509765625,1.0,5.0
234.5,302182.0,253.74875462174413,374.73323845103465,478.0794912982568,491.7206726074219,326.98297119140625,429.4003601074219,1.0,4.0
235.0,302882.0,254.02676621704552,375.2026119312071,479.4934827502872,491.6158752441406,325.95465087890625,430.16400146484375,1.0,2.0
235.5,303703.0,254.39863192097985,375.598189559002,480.21349418774145,491.8176574707031,325.4373474121094,430.3592529296875,1.0,4.0
236.0,304410.0,254.73255569230363,376.25789028271555,480.27596233832065,492.472900390625,326.43194580078125,430.6194152832031,1.0,3.0
236.5,305220.0,255.04733726641922,376.70153968349575,481.00103949991626,492.8995361328125,326.3851013183594,431.00225830078125,1.0,3.0
237.0,304723.0,255.50577447185344,377.2280477377047,481.00103949991626,490.90325927734375,326.989013671875,432.83013916015625,1.0,3.0
